Symbol,Name
RRRP3.SA,3R PETROLEUM
ALPA4.SA,ALPARGATAS
ABEV3.SA,AMBEV S/A
AMER3.SA,AMERICANAS
ARZZ3.SA,AREZZO CO
ASAI3.SA,ASSAI
AZUL4.SA,AZUL
B3SA3.SA,B3
BPAN4.SA,BANCO PAN
BBSE3.SA,BBSEGURIDADE
BRML3.SA,BR MALLS PAR
BBDC3.SA,BRADESCO
BBDC4.SA,BRADESCO
BRAP4.SA,BRADESPAR
BBAS3.SA,BRASIL
BRKM5.SA,BRASKEM
BRFS3.SA,BRF SA
BPAC11.SA,BTGP BANCO
CRFB3.SA,CARREFOUR BR
CCRO3.SA,CCR SA
CMIG4.SA,CEMIG
CIEL3.SA,CIELO
COGN3.SA,COGNA ON
CPLE6.SA,COPEL
CSAN3.SA,COSAN
CPFE3.SA,CPFL ENERGIA
CMIN3.SA,CSNMINERACAO
CVCB3.SA,CVC BRASIL
CYRE3.SA,CYRELA REALT
DXCO3.SA,DEXCO
ECOR3.SA,ECORODOVIAS
ELET3.SA,ELETROBRAS
ELET6.SA,ELETROBRAS
EMBR3.SA,EMBRAER
ENBR3.SA,ENERGIAS BR
ENGI11.SA,ENERGISA
ENEV3.SA,ENEVA
EGIE3.SA,ENGIE BRASIL
EQTL3.SA,EQUATORIAL
EZTC3.SA,EZTEC
FLRY3.SA,FLEURY
GGBR4.SA,GERDAU
GOAU4.SA,GERDAU MET
GOLL4.SA,GOL
NTCO3.SA,GRUPO NATURA
SOMA3.SA,GRUPO SOMA
HAPV3.SA,HAPVIDA
HYPE3.SA,HYPERA
IGTI11.SA,IGUATEMI S.A
IRBR3.SA,IRBBRASIL RE
ITSA4.SA,ITAUSA
ITUB4.SA,ITAUUNIBANCO
JBSS3.SA,JBS
KLBN11.SA,KLABIN S/A
RENT3.SA,LOCALIZA
LWSA3.SA,LOCAWEB
LREN3.SA,LOJAS RENNER
MGLU3.SA,MAGAZ LUIZA
MRFG3.SA,MARFRIG
CASH3.SA,MELIUZ
BEEF3.SA,MINERVA
MRVE3.SA,MRV
MULT3.SA,MULTIPLAN
PCAR3.SA,P.ACUCAR-CBD
PETR3.SA,PETROBRAS
PETR4.SA,PETROBRAS
PRIO3.SA,PETRORIO
PETZ3.SA,PETZ
POSI3.SA,POSITIVO TEC
QUAL3.SA,QUALICORP
RADL3.SA,RAIADROGASIL
RAIZ4.SA,RAIZEN
RDOR3.SA,REDE D OR
RAIL3.SA,RUMO S.A.
SBSP3.SA,SABESP
SANB11.SA,SANTANDER BR
SMTO3.SA,SAO MARTINHO
CSNA3.SA,SID NACIONAL
SLCE3.SA,SLC AGRICOLA
SULA11.SA,SUL AMERICA
SUZB3.SA,SUZANO S.A.
TAEE11.SA,TAESA
VIVT3.SA,TELEF BRASIL
TIMS3.SA,TIM
TOTS3.SA,TOTVS
UGPA3.SA,ULTRAPAR
USIM5.SA,USIMINAS
VALE3.SA,VALE
VIIA3.SA,VIA
VBBR3.SA,VIBRA
WEGE3.SA,WEG
YDUQ3.SA,YDUQS PART
